title,imdb_id,content_type,platform,platform_group,monetization,presentation,region,imdb_rating,year,genre_primary,vote_weighted_score,content_type_titles,is_recent
GoodFellas,tt0099685,movie,Apple TV Store,Other,rent,hd,IN,8.7,1990,Docudrama,8.302,movie,0
GoodFellas,tt0099685,movie,Google Play Movies,Other,rent,hd,IN,8.7,1990,Docudrama,8.302,movie,0
GoodFellas,tt0099685,movie,YouTube,Other,rent,hd,IN,8.7,1990,Docudrama,8.302,movie,0
GoodFellas,tt0099685,movie,Amazon Video,Other,rent,hd,IN,8.7,1990,Docudrama,8.302,movie,0
Interstellar,tt0816692,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,JioHotstar,Other,flatrate,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,Apple TV Store,Other,rent,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,Google Play Movies,Other,rent,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,YouTube,Other,rent,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
Interstellar,tt0816692,movie,Amazon Video,Other,rent,hd,IN,8.7,2014,Adventure Epic,8.302,movie,0
One Flew Over the Cuckoo's Nest,tt0073486,movie,Apple TV Store,Other,rent,hd,IN,8.6,1975,Dark Comedy,8.206,movie,0
One Flew Over the Cuckoo's Nest,tt0073486,movie,Google Play Movies,Other,buy,hd,IN,8.6,1975,Dark Comedy,8.206,movie,0
One Flew Over the Cuckoo's Nest,tt0073486,movie,YouTube,Other,buy,hd,IN,8.6,1975,Dark Comedy,8.206,movie,0
Seven,tt0114369,movie,Not Available,Not Available,,,,8.6,1995,Cop Drama,8.206,movie,0
It's a Wonderful Life,tt0038650,movie,Plex Channel,Other,free,hd,IN,8.6,1946,Feel-Good Romance,8.206,movie,0
It's a Wonderful Life,tt0038650,movie,Amazon Video,Other,rent,hd,IN,8.6,1946,Feel-Good Romance,8.206,movie,0
The Silence of the Lambs,tt0102926,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,8.6,1991,Police Procedural,8.206,movie,0
