imdb_id,title,content_type,year,decade,era,is_recent,imdb_rating,votes,vote_weighted_score,popularity_tier,runtime_min,runtime_category,genres,genre_primary,certificate,plot,rank,platform,source
KGL_ts299874,Cocaine Cowboys: The Kings of Miami,tv_show,2021,2020s,2020s,1,7.1,2699,24.363,Medium,57.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm372066,Fast Color,movie,2019,2010s,2015–2019,1,6.0,6276,22.787,Medium,102.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm348386,Resurface,movie,2017,2010s,2015–2019,0,7.1,286,17.451,Low,27.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts42062,Miraculous: Tales of Ladybug & Cat Noir,tv_show,2015,2010s,2015–2019,0,7.7,10102,30.834,High,21.0,Short (<1h),Unknown,Unknown,TV-Y7,,,Netflix,kaggle
KGL_ts37804,W/ Bob & David,tv_show,2015,2010s,2015–2019,0,7.4,4160,26.782,Medium,35.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm205812,The Siege of Jadotville,movie,2016,2010s,2015–2019,0,7.2,39404,33.088,High,108.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm889018,Nobody Knows I'm Here,movie,2020,2020s,2020s,1,6.5,4148,23.517,Medium,91.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm322210,Bomb Scared,movie,2017,2010s,2015–2019,0,5.6,2871,19.366,Medium,89.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts95011,Move,tv_show,2018,2010s,2015–2019,1,7.4,116,15.305,Low,48.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm157853,In Defense of a Married Man,movie,1990,1990s,1990s,0,5.6,207,12.981,Low,94.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm1046026,The Trip,movie,2021,2020s,2020s,1,6.9,20921,29.812,High,114.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm368449,Private Life,movie,2018,2010s,2015–2019,1,7.2,19023,30.811,High,123.0,Epic (2h+),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm271333,The Third Party,movie,2016,2010s,2015–2019,0,6.1,275,14.89,Low,118.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm236705,Ricardo O'Farrill: Abrazo Genial,movie,2016,2010s,2015–2019,0,5.5,117,11.395,Low,92.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm923612,Any Crybabies Around?,movie,2020,2020s,2020s,1,6.0,168,13.367,Low,106.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts35570,Lovesick,tv_show,2014,2010s,2010–2014,0,8.0,19899,34.391,High,25.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm180599,The Haunting in Connecticut 2: Ghosts of Georgia,movie,2013,2010s,2010–2014,0,5.2,17264,22.033,High,101.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm1003353,Operation Varsity Blues: The College Admissions Scandal,movie,2021,2020s,2020s,1,6.9,8190,27.002,High,100.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm68191,My Führer,movie,2007,2000s,2000s,0,5.5,4442,20.062,Medium,89.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts308838,Bad Sport,tv_show,2021,2020s,2020s,1,7.3,2151,24.33,Medium,68.0,Standard (1–1.5h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_ts320075,Aranyak,tv_show,2021,2020s,2020s,1,7.9,7629,30.672,High,43.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_ts41995,Zumbo's Just Desserts,tv_show,2016,2010s,2015–2019,0,6.9,2177,23.033,Medium,50.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_ts25252,Yu-Gi-Oh!,tv_show,1998,1990s,1990s,0,7.3,21113,31.569,High,22.0,Short (<1h),Unknown,Unknown,TV-Y,,,Netflix,kaggle
KGL_tm413049,Animal World,movie,2018,2010s,2015–2019,1,6.4,4447,23.348,Medium,125.0,Epic (2h+),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm678035,Uncle Naji in UAE,movie,2019,2010s,2015–2019,1,5.0,60,8.927,Low,95.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_ts317297,The Orbital Children,tv_show,2022,2020s,2020s,1,6.4,564,17.613,Low,32.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_ts80720,Scissor Seven,tv_show,2018,2010s,2015–2019,1,8.6,311,21.45,Low,16.0,Short (<1h),Unknown,Unknown,TV-PG,,,Netflix,kaggle
KGL_tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,movie,2008,2000s,2000s,0,7.6,1794,24.731,Medium,60.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm244207,Triple Frontier,movie,2019,2010s,2015–2019,1,6.4,125883,32.64,High,125.0,Epic (2h+),Unknown,Unknown,R,,,Netflix,kaggle
KGL_ts105608,Puerta 7,tv_show,2020,2020s,2020s,1,5.6,560,15.394,Low,41.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm137869,Wild Card,movie,2015,2010s,2015–2019,0,5.6,55605,26.573,High,92.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm245102,The Next Skin,movie,2016,2010s,2015–2019,0,6.2,1820,20.214,Medium,100.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm827648,El Camino: A Breaking Bad Movie,movie,2019,2010s,2015–2019,1,7.3,216847,38.954,High,123.0,Epic (2h+),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm834608,Alelí,movie,2019,2010s,2015–2019,1,6.3,377,16.238,Low,88.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm233121,Dedemin Fişi,movie,2016,2010s,2015–2019,0,5.5,3524,19.509,Medium,100.0,Long (1.5–2h),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_tm828326,The Crystal Calls - Making The Dark Crystal: Age of Resistance,movie,2019,2010s,2015–2019,1,7.6,534,20.735,Low,83.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm27601,Phir Bhi Dil Hai Hindustani,movie,2000,2000s,2000s,0,6.1,7610,23.677,High,160.0,Epic (2h+),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm448792,In the Shadow of the Moon,movie,2019,2010s,2015–2019,1,6.2,52206,29.25,High,115.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm884369,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",movie,2020,2020s,2020s,1,8.6,1445,27.177,Medium,44.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm456436,Bad Trip,movie,2020,2020s,2020s,1,6.5,24537,28.534,High,87.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts271720,Pui Pui Molcar,tv_show,2021,2020s,2020s,1,8.1,366,20.774,Low,2.0,Short (<1h),Unknown,Unknown,TV-Y7,,,Netflix,kaggle
KGL_ts304690,Remember You,tv_show,2021,2020s,2020s,1,7.5,78,14.232,Low,67.0,Standard (1–1.5h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm372891,Chris Rock: Tamborine,movie,2018,2010s,2015–2019,1,6.6,6982,25.371,High,64.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts313781,The Club,tv_show,2021,2020s,2020s,1,7.9,7810,30.752,High,47.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm313988,The Death and Life of Marsha P. Johnson,movie,2017,2010s,2015–2019,0,7.2,2964,24.999,Medium,105.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
