title,imdb_id,content_type,platform,platform_group,monetization,presentation,region
Saving Private Ryan,tt0120815,movie,Apple TV Store,Apple TV Store,rent,hd,IN
Saving Private Ryan,tt0120815,movie,ZEE5,ZEE5,rent,hd,IN
Saving Private Ryan,tt0120815,movie,Google Play Movies,Google Play Movies,rent,hd,IN
Saving Private Ryan,tt0120815,movie,YouTube,YouTube,rent,hd,IN
Saving Private Ryan,tt0120815,movie,Amazon Video,Amazon Video,rent,hd,IN
The Green Mile,tt0120689,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Green Mile,tt0120689,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Green Mile,tt0120689,movie,YouTube,YouTube,rent,hd,IN
The Green Mile,tt0120689,movie,Amazon Video,Amazon Video,rent,hd,IN
Breaking Bad,tt0903747,tv_show,Netflix,Netflix,flatrate,hd,IN
Planet Earth II,tt5491994,tv_show,Discovery+,Discovery+,flatrate,hd,IN
Planet Earth II,tt5491994,tv_show,Discovery+ Amazon Channel,Discovery+ Amazon Channel,flatrate,hd,IN
Planet Earth,tt0795176,tv_show,Discovery+,Discovery+,flatrate,hd,IN
Planet Earth,tt0795176,tv_show,VI movies and tv,VI movies and tv,flatrate,hd,IN
Planet Earth,tt0795176,tv_show,Discovery+ Amazon Channel,Discovery+ Amazon Channel,flatrate,hd,IN
Planet Earth,tt0795176,tv_show,Sony Liv,Sony Liv,ads,hd,IN
Band of Brothers,tt0185906,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
Chernobyl,tt7366338,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
The Wire,tt0306414,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
The Wire,tt0306414,tv_show,VI movies and tv,VI movies and tv,flatrate,hd,IN
Avatar: The Last Airbender,tt0417299,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
The Sopranos,tt0141842,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
Blue Planet II,tt6769208,tv_show,Discovery+,Discovery+,flatrate,hd,IN
Blue Planet II,tt6769208,tv_show,Discovery+ Amazon Channel,Discovery+ Amazon Channel,flatrate,hd,IN
Cosmos: A Spacetime Odyssey,tt2395695,tv_show,Amazon Video,Amazon Video,buy,hd,US
Cosmos: A Spacetime Odyssey,tt2395695,tv_show,Google Play Movies,Google Play Movies,buy,hd,US
Cosmos,tt0081846,tv_show,Not Available,Not Available,,,
Our Planet,tt9253866,tv_show,Netflix,Netflix,flatrate,hd,IN
Our Planet,tt9253866,tv_show,ZEE5,ZEE5,ads,hd,IN
Game of Thrones,tt0944947,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
Game of Thrones,tt0944947,tv_show,VI movies and tv,VI movies and tv,flatrate,hd,IN
Bluey,tt7678620,tv_show,JioHotstar,JioHotstar,flatrate,hd,IN
Bluey,tt7678620,tv_show,VI movies and tv,VI movies and tv,flatrate,hd,IN
The World at War,tt0071075,tv_show,Amazon Video,Amazon Video,buy,hd,US
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Crunchyroll,Crunchyroll,flatrate,hd,IN
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Crunchyroll Amazon Channel,Crunchyroll Amazon Channel,flatrate,hd,IN
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Anime Times Amazon Channel,Anime Times Amazon Channel,flatrate,hd,IN
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Animax Amazon Channel,Animax Amazon Channel,flatrate,hd,IN
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN
Attack on Titan,tt2560140,tv_show,Anime Times Amazon Channel,Anime Times Amazon Channel,flatrate,hd,IN
Attack on Titan,tt2560140,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN
Life,tt1533395,tv_show,Discovery+ Amazon Channel,Discovery+ Amazon Channel,flatrate,hd,IN
The Last Dance,tt8420184,tv_show,Netflix,Netflix,flatrate,hd,IN
The Twilight Zone,tt0052520,tv_show,Paramount Plus Premium,Paramount Plus Premium,flatrate,hd,US
The Twilight Zone,tt0052520,tv_show,Paramount Plus Essential,Paramount Plus Essential,flatrate,hd,US
The Twilight Zone,tt0052520,tv_show,Paramount Plus Apple TV Channel ,Paramount Plus Apple TV Channel ,flatrate,hd,US
The Twilight Zone,tt0052520,tv_show,Paramount+ Amazon Channel,Paramount+ Amazon Channel,flatrate,hd,US
The Twilight Zone,tt0052520,tv_show,Paramount+ Roku Premium Channel,Paramount+ Roku Premium Channel,flatrate,hd,US
The Twilight Zone,tt0052520,tv_show,Tubi TV,Tubi TV,ads,hd,US
The Twilight Zone,tt0052520,tv_show,Amazon Video,Amazon Video,buy,hd,US
The Twilight Zone,tt0052520,tv_show,Apple TV Store,Apple TV Store,buy,hd,US
The Twilight Zone,tt0052520,tv_show,Google Play Movies,Google Play Movies,buy,hd,US
The Twilight Zone,tt0052520,tv_show,Fandango At Home,Fandango At Home,buy,hd,US
The Vietnam War,tt1877514,tv_show,PBS Documentaries Amazon Channel,PBS Documentaries Amazon Channel,flatrate,hd,US
The Vietnam War,tt1877514,tv_show,WETA+,WETA+,flatrate,hd,US
The Vietnam War,tt1877514,tv_show,KQED,KQED,ads,hd,US
The Vietnam War,tt1877514,tv_show,Amazon Video,Amazon Video,buy,hd,US
The Vietnam War,tt1877514,tv_show,Apple TV Store,Apple TV Store,buy,hd,US
Rick and Morty,tt2861424,tv_show,Netflix,Netflix,flatrate,hd,IN
Sherlock,tt1475582,tv_show,Lionsgate Play,Lionsgate Play,flatrate,hd,IN
Sherlock,tt1475582,tv_show,Lionsgate Play Apple TV Channel,Lionsgate Play Apple TV Channel,flatrate,hd,IN
Sherlock,tt1475582,tv_show,Lionsgate Play Amazon Channel,Lionsgate Play Amazon Channel,flatrate,hd,IN
Sherlock,tt1475582,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN
Batman: The Animated Series,tt0103359,tv_show,CN Rewind Amazon Channel,CN Rewind Amazon Channel,flatrate,hd,IN
Batman: The Animated Series,tt0103359,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN
Better Call Saul,tt3032476,tv_show,Netflix,Netflix,flatrate,hd,IN
